F_h,h
0.352138,-22912.5
0.352545,-22893.5
0.352952,-22874.4
0.35336,-22855.4
0.353767,-22836.4
0.354174,-22817.4
0.354583,-22798.4
0.35499,-22779.4
0.355398,-22760.3
0.355805,-22741.3
0.356213,-22722.3
0.356621,-22703.3
0.357028,-22684.3
0.357436,-22665.3
0.357843,-22646.2
0.358251,-22627.2
0.358659,-22608.2
0.359066,-22589.2
0.359474,-22570.2
0.359882,-22551.2
0.360289,-22532.2
0.360697,-22513.1
0.361105,-22494.1
0.361512,-22475.1
0.36192,-22456.1
0.362328,-22437.1
0.362736,-22418.1
0.363144,-22399
0.363552,-22380
0.363959,-22361
0.364367,-22342
0.364775,-22323
0.365183,-22304
0.365592,-22285
0.365999,-22265.9
0.366407,-22246.9
0.366815,-22227.9
0.367222,-22208.9
0.367631,-22189.9
0.368039,-22170.9
0.368446,-22151.8
0.368854,-22132.8
0.369262,-22113.8
0.36967,-22094.8
0.370078,-22075.8
0.370486,-22056.8
0.370894,-22037.8
0.371302,-22018.7
0.37171,-21999.7
0.372118,-21980.7
0.372526,-21961.7
0.372934,-21942.7
0.373341,-21923.7
0.37375,-21904.6
0.374158,-21885.6
0.374565,-21866.6
0.374973,-21847.6
0.375382,-21828.6
0.375789,-21809.6
0.376198,-21790.5
0.376605,-21771.5
0.377014,-21752.5
0.377422,-21733.5
0.37783,-21714.5
0.378237,-21695.5
0.378645,-21676.5
0.379054,-21657.4
0.379461,-21638.4
0.37987,-21619.4
0.380277,-21600.4
0.380685,-21581.4
0.381093,-21562.4
0.381502,-21543.3
0.381909,-21524.3
0.382317,-21505.3
0.382725,-21486.3
0.383133,-21467.3
0.383541,-21448.3
0.383949,-21429.2
0.384356,-21410.2
0.384764,-21391.2
0.385172,-21372.2
0.38558,-21353.2
0.385988,-21334.2
0.386396,-21315.2
0.386804,-21296.1
0.387212,-21277.1
0.387619,-21258.1
0.388028,-21239.1
0.388435,-21220.1
0.388844,-21201.1
0.389252,-21182
0.389659,-21163
0.390067,-21144
0.390475,-21125
0.390882,-21106
0.39129,-21087
0.391698,-21068
0.392105,-21048.9
0.392513,-21029.9
0.392921,-21010.9
0.393329,-20991.9
0.393736,-20972.9
0.394144,-20953.9
0.394552,-20934.8
0.39496,-20915.8
0.395367,-20896.8
0.395775,-20877.8
0.396182,-20858.8
0.39659,-20839.8
0.396998,-20820.8
0.397405,-20801.7
0.397813,-20782.7
0.39822,-20763.7
0.398628,-20744.7
0.399036,-20725.7
0.399442,-20706.7
0.399851,-20687.6
0.400258,-20668.6
0.400665,-20649.6
0.401072,-20630.6
0.401479,-20611.6
0.401887,-20592.6
0.402295,-20573.5
0.402702,-20554.5
0.403109,-20535.5
0.403516,-20516.5
0.403924,-20497.5
0.404331,-20478.5
0.404739,-20459.5
0.405145,-20440.4
0.405553,-20421.4
0.40596,-20402.4
0.406367,-20383.4
0.406774,-20364.4
0.407181,-20345.4
0.407588,-20326.3
0.407995,-20307.3
0.408402,-20288.3
0.408809,-20269.3
0.409217,-20250.3
0.409623,-20231.3
0.41003,-20212.2
0.410437,-20193.2
0.410844,-20174.2
0.411251,-20155.2
0.411657,-20136.2
0.412064,-20117.2
0.412471,-20098.2
0.412878,-20079.1
0.413284,-20060.1
0.413691,-20041.1
0.414098,-20022.1
0.414504,-20003.1
0.414911,-19984.1
0.415317,-19965
0.415724,-19946
0.41613,-19927
0.416536,-19908
0.416943,-19889
0.417349,-19870
0.417756,-19851
0.418162,-19831.9
0.418569,-19812.9
0.418975,-19793.9
0.419381,-19774.9
0.419787,-19755.9
0.420193,-19736.9
0.420599,-19717.8
0.421006,-19698.8
0.421412,-19679.8
0.421818,-19660.8
0.422224,-19641.8
0.422629,-19622.8
0.423035,-19603.8
0.423442,-19584.7
0.423847,-19565.7
0.424254,-19546.7
0.424659,-19527.7
0.425065,-19508.7
0.425471,-19489.7
0.425876,-19470.6
0.426281,-19451.6
0.426687,-19432.6
0.427093,-19413.6
0.427498,-19394.6
0.427904,-19375.6
0.428309,-19356.5
0.428715,-19337.5
0.42912,-19318.5
0.429524,-19299.5
0.42993,-19280.5
0.430336,-19261.5
0.430741,-19242.5
0.431146,-19223.4
0.431551,-19204.4
0.431956,-19185.4
0.432361,-19166.4
0.432766,-19147.4
0.433171,-19128.4
0.433576,-19109.3
0.433981,-19090.3
0.434386,-19071.3
0.434791,-19052.3
0.435195,-19033.3
0.4356,-19014.3
0.436004,-18995.2
0.436409,-18976.2
0.436813,-18957.2
0.437218,-18938.2
0.437622,-18919.2
0.438027,-18900.2
0.438431,-18881.2
0.438836,-18862.1
0.43924,-18843.1
0.439644,-18824.1
0.440048,-18805.1
0.440452,-18786.1
0.440856,-18767.1
0.44126,-18748
0.441665,-18729
0.442068,-18710
0.442472,-18691
0.442876,-18672
0.44328,-18653
0.443683,-18634
0.444087,-18614.9
0.444491,-18595.9
0.444894,-18576.9
0.445298,-18557.9
0.445701,-18538.9
0.446105,-18519.9
0.446508,-18500.8
0.446911,-18481.8
0.447315,-18462.8
0.447717,-18443.8
0.448121,-18424.8
0.448524,-18405.8
0.448927,-18386.8
0.44933,-18367.7
0.449733,-18348.7
0.450136,-18329.7
0.450538,-18310.7
0.450941,-18291.7
0.451344,-18272.7
0.451746,-18253.6
0.452149,-18234.6
0.452552,-18215.6
0.452954,-18196.6
0.453357,-18177.6
0.453759,-18158.6
0.454161,-18139.5
0.454563,-18120.5
0.454966,-18101.5
0.455368,-18082.5
0.45577,-18063.5
0.456172,-18044.5
0.456574,-18025.5
0.456976,-18006.4
0.457378,-17987.4
0.457779,-17968.4
0.458181,-17949.4
0.458583,-17930.4
0.458984,-17911.4
0.459386,-17892.3
0.459787,-17873.3
0.460189,-17854.3
0.46059,-17835.3
0.460991,-17816.3
0.461393,-17797.3
0.461794,-17778.2
0.462195,-17759.2
0.462596,-17740.2
0.462997,-17721.2
0.463397,-17702.2
0.463799,-17683.2
0.464199,-17664.2
0.4646,-17645.1
0.465001,-17626.1
0.465401,-17607.1
0.465802,-17588.1
0.466202,-17569.1
0.466603,-17550.1
0.467003,-17531
0.467403,-17512
0.467803,-17493
0.468203,-17474
0.468603,-17455
0.469003,-17436
0.469403,-17417
0.469803,-17397.9
0.470203,-17378.9
0.470603,-17359.9
0.471002,-17340.9
0.471401,-17321.9
0.471801,-17302.9
0.4722,-17283.8
0.4726,-17264.8
0.472999,-17245.8
0.473398,-17226.8
0.473798,-17207.8
0.474197,-17188.8
0.474595,-17169.8
0.474995,-17150.7
0.475393,-17131.7
0.475792,-17112.7
0.476191,-17093.7
0.476589,-17074.7
0.476988,-17055.7
0.477387,-17036.6
0.477785,-17017.6
0.478183,-16998.6
0.478581,-16979.6
0.478979,-16960.6
0.479378,-16941.6
0.479776,-16922.5
0.480174,-16903.5
0.480572,-16884.5
0.480969,-16865.5
0.481367,-16846.5
0.481765,-16827.5
0.482162,-16808.5
0.48256,-16789.4
0.482957,-16770.4
0.483354,-16751.4
0.483752,-16732.4
0.484149,-16713.4
0.484546,-16694.4
0.484943,-16675.3
0.48534,-16656.3
0.485736,-16637.3
0.486134,-16618.3
0.48653,-16599.3
0.486927,-16580.3
0.487323,-16561.2
0.48772,-16542.2
0.488116,-16523.2
0.488513,-16504.2
0.488909,-16485.2
0.489305,-16466.2
0.489701,-16447.2
0.490097,-16428.1
0.490493,-16409.1
0.490889,-16390.1
0.491284,-16371.1
0.49168,-16352.1
0.492076,-16333.1
0.492471,-16314
0.492866,-16295
0.493262,-16276
0.493657,-16257
0.494052,-16238
0.494447,-16219
0.494842,-16200
0.495237,-16180.9
0.495632,-16161.9
0.496027,-16142.9
0.496421,-16123.9
0.496816,-16104.9
0.49721,-16085.9
0.497604,-16066.8
0.497999,-16047.8
0.498393,-16028.8
0.498787,-16009.8
0.499181,-15990.8
0.499575,-15971.8
0.499969,-15952.8
0.500363,-15933.7
0.500756,-15914.7
0.50115,-15895.7
0.501543,-15876.7
0.501936,-15857.7
0.50233,-15838.7
0.502723,-15819.6
0.503116,-15800.6
0.503509,-15781.6
0.503902,-15762.6
0.504295,-15743.6
0.504687,-15724.6
0.50508,-15705.5
0.505473,-15686.5
0.505865,-15667.5
0.506258,-15648.5
0.50665,-15629.5
0.507042,-15610.5
0.507434,-15591.5
0.507826,-15572.4
0.508218,-15553.4
0.50861,-15534.4
0.509002,-15515.4
0.509394,-15496.4
0.509785,-15477.4
0.510177,-15458.3
0.510568,-15439.3
0.510959,-15420.3
0.51135,-15401.3
0.511741,-15382.3
0.512132,-15363.3
0.512523,-15344.2
0.512914,-15325.2
0.513305,-15306.2
0.513695,-15287.2
0.514086,-15268.2
0.514476,-15249.2
0.514866,-15230.2
0.515257,-15211.1
0.515647,-15192.1
0.516036,-15173.1
0.516426,-15154.1
0.516816,-15135.1
0.517206,-15116.1
0.517595,-15097
0.517985,-15078
0.518374,-15059
0.518764,-15040
0.519153,-15021
0.519542,-15002
0.519931,-14983
0.52032,-14963.9
0.520709,-14944.9
0.521097,-14925.9
0.521486,-14906.9
0.521874,-14887.9
0.522262,-14868.9
0.522651,-14849.8
0.523039,-14830.8
0.523427,-14811.8
0.523815,-14792.8
0.524203,-14773.8
0.524591,-14754.8
0.524979,-14735.8
0.525366,-14716.7
0.525753,-14697.7
0.526141,-14678.7
0.526528,-14659.7
0.526915,-14640.7
0.527302,-14621.7
0.527689,-14602.6
0.528076,-14583.6
0.528463,-14564.6
0.528849,-14545.6
0.529236,-14526.6
0.529622,-14507.6
0.530008,-14488.5
0.530395,-14469.5
0.53078,-14450.5
0.531166,-14431.5
0.531552,-14412.5
0.531938,-14393.5
0.532324,-14374.5
0.532709,-14355.4
0.533095,-14336.4
0.53348,-14317.4
0.533865,-14298.4
0.53425,-14279.4
0.534635,-14260.4
0.53502,-14241.3
0.535405,-14222.3
0.535789,-14203.3
0.536174,-14184.3
0.536558,-14165.3
0.536943,-14146.3
0.537327,-14127.2
0.537711,-14108.2
0.538095,-14089.2
0.538479,-14070.2
0.538862,-14051.2
0.539246,-14032.2
0.53963,-14013.2
0.540013,-13994.1
0.540397,-13975.1
0.54078,-13956.1
0.541162,-13937.1
0.541545,-13918.1
0.541928,-13899.1
0.542311,-13880
0.542694,-13861
0.543076,-13842
0.543459,-13823
0.543841,-13804
0.544223,-13785
0.544605,-13766
0.544987,-13746.9
0.545369,-13727.9
0.54575,-13708.9
0.546132,-13689.9
0.546513,-13670.9
0.546895,-13651.9
0.547276,-13632.8
0.547657,-13613.8
0.548038,-13594.8
0.548419,-13575.8
0.5488,-13556.8
0.54918,-13537.8
0.549561,-13518.8
0.549941,-13499.7
0.550321,-13480.7
0.550702,-13461.7
0.551082,-13442.7
0.551462,-13423.7
0.551841,-13404.7
0.552221,-13385.6
0.5526,-13366.6
0.55298,-13347.6
0.553359,-13328.6
0.553739,-13309.6
0.554117,-13290.6
0.554497,-13271.5
0.554875,-13252.5
0.555254,-13233.5
0.555633,-13214.5
0.556011,-13195.5
0.556389,-13176.5
0.556768,-13157.5
0.557146,-13138.4
0.557524,-13119.4
0.557902,-13100.4
0.558279,-13081.4
0.558657,-13062.4
0.559034,-13043.4
0.559412,-13024.3
0.559789,-13005.3
0.560166,-12986.3
0.560543,-12967.3
0.56092,-12948.3
0.561296,-12929.3
0.561673,-12910.2
0.56205,-12891.2
0.562426,-12872.2
0.562802,-12853.2
0.563178,-12834.2
0.563554,-12815.2
0.56393,-12796.2
0.564306,-12777.1
0.564681,-12758.1
0.565057,-12739.1
0.565432,-12720.1
