loss,count
-1015.5,529
-1011.7,630
-1006.6,280
-1006.1,117
-1004.6,238
-1001.6,2209
-994.7,244
-990.699,364
-985.801,122
-975.7,446
-967.399,5531
-966.8,451
-966.3,166
-961.8,875
-961.099,2309
-950.201,951
-937.501,71
-931.299,1307
-930.9,121
-929.3,97
-922.6,884
-922.002,933
-917,169
-912.499,3674
-910.5,193
-903.899,1206
-893.199,269
-893.1,183
-889.5,143
-884.999,464
-882.6,324
-877.7,294
-877.2,244
-872.099,63
-870.701,293
-861.8,152
-855.899,2922
-848.4,99
-845.2,639
-845,1222
-840.201,126
-832.298,89
-827.1,707
-816.202,358
-804,135
-800.402,177
-788.6,331
-782.999,85
-774.9,196
-771.299,544
-764.8,540
-759.699,565
-759.101,80
-747,262
-743.2,90
-742.501,153
-736.901,789
-734.199,1333
-730.601,1132
-728.199,540
-724.099,7424
-717.699,104
-714.899,127
-702.7,208
-702.699,1352
-702.199,456
-694.5,339
-688.8,300
-685.801,210
-682.301,364
-675.7,866
-673.4,152
-672.7,1627
-657.9,303
-647.801,1106
-647.4,57
-640.899,90
-637.299,187
-629,605
-628.999,1666
-628.6,122
-625.399,344
-613.1,732
-612,216
-606.601,754
-600.2,440
-593.201,495
-584.3,186
-568.197,210
-555.299,746
-554.798,114
-551.8,104
